,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,65.0,0,0.000268762999894534,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",geometric,0.01,0.99,0.001,0.009999972988452342,0.01,1000
1,1000,7.0,1202,0.35809925999978987,"[1, 0, 2, 0, 1, 2, 0, 2, 1, 0, 1, 0, 0, 2, 1, 0, 1, 1, 1, 2, 0, 0, 0, 2, 2, 0, 2, 1, 2, 1, 0, 0, 1, 0, 2, 2, 1, 0, 1, 0, 1, 0, 1, 2, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 1, 0, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 2, 0, 2, 2, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 2, 1, 0, 2, 0, 0, 0, 2, 2, 1, 2, 2, 2, 1, 1, 1]",geometric,0.01,0.99,0.001,0.009964074508701374,0.01,1000
2,0,65.0,0,0.0002970719999666471,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",geometric,0.1,0.99,0.001,0.09999970143310849,0.1,1000
3,1000,7.0,1202,0.3575516969999626,"[1, 0, 2, 0, 1, 2, 0, 2, 1, 0, 1, 0, 0, 2, 1, 0, 1, 1, 1, 2, 0, 0, 0, 2, 2, 0, 2, 1, 2, 1, 0, 0, 1, 0, 2, 2, 1, 0, 1, 0, 1, 0, 1, 2, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 1, 0, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 2, 0, 2, 2, 1, 2, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 2, 1, 0, 2, 0, 0, 0, 2, 2, 1, 2, 2, 2, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09964129343067869,0.1,1000
4,0,65.0,0,0.0002573670001311257,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",geometric,1.0,0.99,0.001,0.9999974133785564,1,1000
5,1000,4.0,1201,0.35685378700009096,"[2, 1, 0, 0, 0, 2, 2, 0, 0, 2, 1, 2, 1, 0, 2, 0, 1, 2, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 2, 2, 0, 1, 0, 1, 2, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 0, 0, 2, 0, 2, 1, 1, 2, 0, 1, 0, 2, 0, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1, 2, 2, 1, 2, 1]",geometric,1.0,0.99,0.001,0.9964199234006893,1,1000
6,0,65.0,0,0.00022424600001613726,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",geometric,10.0,0.99,0.001,9.999977462549257,10,1000
7,1000,6.0,1344,0.3783192289999988,"[0, 1, 0, 0, 2, 0, 1, 1, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 1, 0, 2, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 1, 0, 1, 1, 2, 1, 2, 1, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 0, 1, 2, 0, 1, 1, 0, 0, 1, 2, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2]",geometric,10.0,0.99,0.001,9.962049840326136,10,1000
