Run ID,Name,Source Type,Source Name,User,Status,C,break_ties,cache_size,class_weight,coef0,decision_function_shape,degree,gamma,kernel,max_iter,probability,random_state,shrinking,tol,verbose,accuracy_score_X_test,f1_score_X_test,model_size,test_acc,test_f1,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,training_score,training_time,estimator_class,estimator_name
f7a4c6b26de44d72b448f1738251afe6,"kernel: sigmoid, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,1000,False,None,True,0.001,False,0.7236842105263158,0.631578947368421,1239907,0.7236842105263158,0.631578947368421,0.7168874172185431,0.7133926631051553,0.7103724765652495,0.7168874172185431,0.7168874172185431,1.807361125946045,sklearn.svm._classes.SVC,SVC
e8a66af1480e4a6e83df4ba66f8c13db,"kernel: sigmoid, max_iter: 500",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,500,False,None,True,0.001,False,0.7236842105263158,0.631578947368421,1239907,0.7236842105263158,0.631578947368421,0.7168874172185431,0.7133926631051553,0.7103724765652495,0.7168874172185431,0.7168874172185431,2.036608934402466,sklearn.svm._classes.SVC,SVC
4402820626704e209836d5f10b0f18e4,"kernel: sigmoid, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,100,False,None,True,0.001,False,0.7236842105263158,0.6021934197407777,1143202,0.7236842105263158,0.6021934197407777,0.7433774834437086,0.724067297147953,0.7176822511279386,0.7433774834437086,0.7433774834437086,1.9936790466308594,sklearn.svm._classes.SVC,SVC
c9792e29a4fb4420aa6433da3c17f8be,"kernel: sigmoid, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,50,False,None,True,0.001,False,0.7039473684210527,0.5692423956168524,623418,0.7039473684210527,0.5692423956168524,0.7417218543046358,0.7177773178807947,0.7117412509773936,0.7417218543046358,0.7417218543046358,1.849916934967041,sklearn.svm._classes.SVC,SVC
80b84c154090408ca6eb280912ed9cc2,"kernel: sigmoid, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,sigmoid,10,False,None,True,0.001,False,0.7368421052631579,0.6129360835243188,139889,0.7368421052631579,0.6129360835243188,0.7483443708609272,0.7334080550851969,0.7273858359252553,0.7483443708609272,0.7483443708609272,1.784409761428833,sklearn.svm._classes.SVC,SVC
234be1549c2a4af6b121933e938e0012,"kernel: rbf, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,1000,False,None,True,0.001,False,0.7631578947368421,0.45864661654135336,1904747,0.7631578947368421,0.45864661654135336,0.7466887417218543,0.6446373720436342,0.7475220750551876,0.7466887417218543,0.7466887417218543,2.292848825454712,sklearn.svm._classes.SVC,SVC
a907906e14ff435790c68c6ec824f726,"kernel: rbf, max_iter: 500",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,500,False,None,True,0.001,False,0.756578947368421,0.45582970488630864,2025627,0.756578947368421,0.45582970488630864,0.7433774834437086,0.6511320165554725,0.6845886656524074,0.7433774834437086,0.7433774834437086,2.489579916000366,sklearn.svm._classes.SVC,SVC
7e44468a08da4697971c87ad810c831c,"kernel: rbf, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,100,False,None,True,0.001,False,0.3684210526315789,0.3351558228540186,1227814,0.3684210526315789,0.3351558228540186,0.42218543046357615,0.4583232352923389,0.5447510919365225,0.42218543046357615,0.42218543046357615,2.2778189182281494,sklearn.svm._classes.SVC,SVC
0a52580eef394e598a80ff12ffc722f2,"kernel: rbf, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,50,False,None,True,0.001,False,0.7631578947368421,0.651642475171887,623414,0.7631578947368421,0.651642475171887,0.7317880794701986,0.719337284616051,0.7124000497993968,0.7317880794701986,0.7317880794701986,1.9467120170593262,sklearn.svm._classes.SVC,SVC
e4c2146b1a1a4360a02023c9ebc2889f,"kernel: rbf, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,rbf,10,False,None,True,0.001,False,0.7763157894736842,0.6635416666666667,139885,0.7763157894736842,0.6635416666666667,0.7384105960264901,0.7210847255246214,0.7140311074841696,0.7384105960264901,0.7384105960264901,1.8131482601165771,sklearn.svm._classes.SVC,SVC
86183fc3d32340b09d8cdfa3621fa95c,"kernel: poly, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,1000,False,None,True,0.001,False,0.7631578947368421,0.45864661654135336,1868484,0.7631578947368421,0.45864661654135336,0.7466887417218543,0.6416979821486201,0.8110685133440407,0.7466887417218543,0.7466887417218543,1.9380748271942139,sklearn.svm._classes.SVC,SVC
421538c9e2064592a793386c596e6ffe,"kernel: poly, max_iter: 500",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,500,False,None,True,0.001,False,0.7631578947368421,0.45864661654135336,1832220,0.7631578947368421,0.45864661654135336,0.7450331125827815,0.6378460970282289,0.8101490340790529,0.7450331125827815,0.7450331125827815,1.9206769466400146,sklearn.svm._classes.SVC,SVC
36a136348e194acdaa8a556348d8175d,"kernel: poly, max_iter: 100",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,100,False,None,True,0.001,False,0.24342105263157895,0.19576719576719576,1119023,0.24342105263157895,0.19576719576719576,0.25496688741721857,0.10427405685928462,0.06553875215533811,0.25496688741721857,0.25496688741721857,1.8133859634399414,sklearn.svm._classes.SVC,SVC
b7c4bbccb2154167b93cf8aba00215a3,"kernel: poly, max_iter: 50",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,50,False,None,True,0.001,False,0.756578947368421,0.4307116104868914,599239,0.756578947368421,0.4307116104868914,0.7450331125827815,0.6378460970282289,0.8101490340790529,0.7450331125827815,0.7450331125827815,1.7058708667755127,sklearn.svm._classes.SVC,SVC
f5a3dcf7f9644903953c72a91eda972c,"kernel: poly, max_iter: 10",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,poly,10,False,None,True,0.001,False,0.756578947368421,0.4307116104868914,139886,0.756578947368421,0.4307116104868914,0.7450331125827815,0.6378460970282289,0.8101490340790529,0.7450331125827815,0.7450331125827815,1.7498350143432617,sklearn.svm._classes.SVC,SVC
a068d3bb537a4cedad7ce2d94687337f,"kernel: linear, max_iter: 1000",LOCAL,/Users/aish/opt/anaconda3/envs/cs7641/lib/python3.9/site-packages/ipykernel_launcher.py,aish,FINISHED,1.0,False,200,None,0.0,ovr,3,scale,linear,1000,False,None,True,0.001,False,0.756578947368421,0.45582970488630864,97581,0.756578947368421,0.45582970488630864,0.7417218543046358,0.6527896309540161,0.6763437112327925,0.7417218543046358,0.7417218543046358,2.053835153579712,sklearn.svm._classes.SVC,SVC
